exp_id,candidate,fold,mae,group
v533_20260618_031345,cg_c1_g1,6,0.1201,c_gamma
v533_20260618_031345,cg_c1_g1,7,0.13709999999999997,c_gamma
v533_20260618_031345,cg_c1_g1,8,0.1412,c_gamma
v533_20260618_031345,cg_c1_g1,9,0.14033333333333334,c_gamma
v533_20260618_031345,cg_c1_g1,10,0.1346,c_gamma
v533_20260618_031345,cg_c1_g1.15,1,0.12813333333333332,c_gamma
v533_20260618_031345,cg_c1_g1.15,2,0.1226,c_gamma
v533_20260618_031345,cg_c1_g1.15,3,0.13660000000000003,c_gamma
v533_20260618_031345,cg_c1_g1.15,4,0.14170000000000002,c_gamma
v533_20260618_031345,cg_c1_g1.15,5,0.13939999999999997,c_gamma
v533_20260618_031345,cg_c1_g1.15,6,0.11986666666666666,c_gamma
v533_20260618_031345,cg_c1_g1.15,7,0.13689999999999997,c_gamma
v533_20260618_031345,cg_c1_g1.15,8,0.14166666666666666,c_gamma
v533_20260618_031345,cg_c1_g1.15,9,0.1403,c_gamma
v533_20260618_031345,cg_c1_g1.15,10,0.13496666666666668,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,1,0.12803333333333333,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,2,0.1219,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,3,0.13593333333333335,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,4,0.14229999999999998,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,5,0.13996666666666668,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,6,0.12040000000000002,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,7,0.13743333333333335,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,8,0.14133333333333334,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,9,0.14056666666666667,c_gamma
v533_20260618_031345,cg_c1.15_g0.85,10,0.13433333333333333,c_gamma
v533_20260618_031345,cg_c1.15_g1,1,0.12813333333333332,c_gamma
v533_20260618_031345,cg_c1.15_g1,2,0.12229999999999999,c_gamma
v533_20260618_031345,cg_c1.15_g1,3,0.13643333333333332,c_gamma
v533_20260618_031345,cg_c1.15_g1,4,0.14186666666666667,c_gamma
v533_20260618_031345,cg_c1.15_g1,5,0.13963333333333333,c_gamma
v533_20260618_031345,cg_c1.15_g1,6,0.1201,c_gamma
v533_20260618_031345,cg_c1.15_g1,7,0.13709999999999997,c_gamma
v533_20260618_031345,cg_c1.15_g1,8,0.1412,c_gamma
v533_20260618_031345,cg_c1.15_g1,9,0.14033333333333334,c_gamma
v533_20260618_031345,cg_c1.15_g1,10,0.1346,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,1,0.12813333333333332,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,2,0.1226,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,3,0.13660000000000003,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,4,0.14170000000000002,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,5,0.13939999999999997,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,6,0.11986666666666666,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,7,0.13689999999999997,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,8,0.14166666666666666,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,9,0.1403,c_gamma
v533_20260618_031345,cg_c1.15_g1.15,10,0.13496666666666668,c_gamma
